YEAR_MONTH;PRICE
19910501;18.8500000
19910601;18.5000000
19910701;19.7400000
19910801;20.7900000
19910901;21.4500000
19911001;22.1400000
19911101;19.8800000
19911201;17.6600000
19920101;18.7000000
19920201;17.6000000
19920301;18.2900000
19920401;19.9800000
19920501;21.1300000
19920601;20.5300000
19920701;20.4900000
19920801;19.7700000
19920901;20.2200000
19921001;19.2800000
19921101;18.9800000
19921201;17.8700000
19930101;18.3700000
19930201;19.0200000
19930301;18.6700000
19930401;18.8500000
19930501;18.3500000
19930601;17.2300000
19930701;16.6500000
19930801;16.5300000
19930901;17.1800000
19931001;15.4500000
19931101;14.2700000
19931201;13.0200000
19940101;14.8900000
19940201;13.1800000
19940301;13.6500000
19940401;15.8900000
19940501;16.4500000
19940601;17.4700000
19940701;18.4400000
19940801;15.7400000
19940901;16.9000000
19941001;17.1400000
19941101;17.0000000
19941201;16.2500000
19950101;17.0500000
19950201;17.2200000
19950301;18.0000000
19950401;19.3100000
19950501;17.6700000
19950601;16.4700000
19950701;15.8300000
19950801;16.2000000
19950901;16.4800000
19951001;16.5300000
19951101;17.2200000
19951201;18.7800000
19960101;16.6400000
19960201;18.7400000
19960301;20.4100000
19960401;19.2200000
19960501;17.9000000
19960601;18.7100000
19960701;19.0600000
19960801;20.4000000
19960901;22.6700000
19961001;21.8200000
19961101;23.1200000
19961201;23.5600000
19970101;22.8200000
19970201;19.4000000
19970301;18.5800000
19970401;18.2100000
19970501;19.2000000
19970601;18.2600000
19970701;19.1200000
19970801;18.2500000
19970901;19.8600000
19971001;19.5200000
19971101;18.9700000
19971201;15.9400000
19980101;15.5700000
19980201;13.4200000
19980301;13.7700000
19980401;13.9900000
19980501;14.1200000
19980601;11.8800000
19980701;12.5500000
19980801;11.9500000
19980901;14.7800000
19981001;12.3100000
19981101;10.0600000
19981201;10.5700000
19990101;11.4700000
19990201;10.4800000
19990301;15.0900000
19990401;16.7100000
19990501;14.7500000
19990601;17.0700000
19990701;19.2000000
19990801;21.0300000
19990901;22.8100000
19991001;21.1500000
19991101;24.3900000
19991201;24.8900000
20000101;26.9200000
20000201;29.0400000
20000301;24.1200000
20000401;23.4300000
20000501;29.0300000
20000601;31.3200000
20000701;25.4300000
20000801;34.8800000
20000901;28.6200000
20001001;30.6500000
20001101;31.7300000
20001201;22.5400000
20010101;26.6800000
20010201;24.7300000
20010301;23.6300000
20010401;27.2800000
20010501;29.2100000
20010601;26.4500000
20010701;24.2500000
20010801;26.7100000
20010901;21.9600000
20011001;19.7900000
20011101;19.2900000
20011201;19.3000000
20020101;19.4100000
20020201;21.0700000
20020301;25.6000000
20020401;27.0100000
20020501;23.8900000
20020601;25.4400000
20020701;25.8500000
20020801;27.3800000
20020901;28.8700000
20021001;25.6800000
20021101;25.2000000
20021201;29.9900000
20030101;31.4500000
20030201;33.9100000
20030301;27.9800000
20030401;23.5900000
20030501;26.8000000
20030601;28.1600000
20030701;28.5900000
20030801;30.0500000
20030901;28.3400000
20031001;27.9400000
20031101;28.7600000
20031201;30.4800000
20040101;29.5100000
20040201;33.0100000
20040301;32.3600000
20040401;35.1200000
20040501;36.9800000
20040601;33.5100000
20040701;41.6000000
20040801;39.3300000
20040901;47.0800000
20041001;48.7800000
20041101;44.0300000
20041201;40.2400000
20050101;45.8700000
20050201;50.1400000
20050301;53.0500000
20050401;49.3300000
20050501;49.8300000
20050601;54.8500000
20050701;59.7000000
20050801;66.6800000
20050901;62.5600000
20051001;58.3500000
20051101;53.4100000
20051201;58.8700000
20060101;65.4300000
20060201;60.0500000
20060301;64.9400000
20060401;72.0000000
20060501;69.0000000
20060601;73.2800000
20060701;75.1600000
20060801;69.6400000
20060901;61.3700000
20061001;56.9700000
20061101;64.4200000
20061201;60.1300000
20070101;57.2100000
20070201;60.6600000
20070301;68.4200000
20070401;67.2800000
20070501;68.8200000
20070601;73.2600000
20070701;78.0500000
20070801;73.5300000
20070901;81.7500000
20071001;91.1400000
20071101;88.0000000
20071201;93.8500000
20080101;91.9800000
20080201;100.0400000
20080301;100.5100000
20080401;112.7100000
20080501;128.2700000
20080601;140.3000000
20080701;123.9600000
20080801;115.1700000
20080901;98.9600000
20081001;65.6000000
20081101;53.4900000
20081201;45.5900000
20090101;45.9300000
20090201;45.8400000
20090301;48.6800000
20090401;50.6400000
20090501;65.8000000
20090601;69.4200000
20090701;71.5200000
20090801;69.3200000
20090901;68.9200000
20091001;75.0900000
20091101;78.3600000
20091201;77.9300000
20100101;71.1800000
20100201;78.0300000
20100301;82.1700000
20100401;87.3500000
20100501;74.6000000
20100601;74.6600000
20100701;78.2600000
20100801;74.4200000
20100901;82.1100000
20101001;83.2600000
20101101;85.4500000
20101201;94.5900000
20110101;100.5600000
20110201;112.1000000
20110301;117.1700000
20110401;126.0300000
20110501;116.6800000
20110601;111.8000000
20110701;117.5400000
20110801;114.4900000
20110901;102.1500000
20111001;109.1900000
20111101;110.3700000
20111201;107.2200000
20120101;111.1600000
20120201;123.0400000
20120301;122.8000000
20120401;119.4700000
20120501;101.6200000
20120601;97.5700000
20120701;104.6200000
20120801;114.9200000
20120901;112.1400000
20121001;108.4000000
20121101;111.1700000
20121201;111.1100000
20130101;114.5600000
20130201;111.0000000
20130301;109.8900000
20130401;101.7400000
20130501;100.1500000
20130601;101.5000000
20130701;107.7000000
20130801;114.4500000
20130901;108.2000000
