YEAR_MONTH;PRICE
19910101;2364.4701160
19910201;2506.6690180
19910301;2340.2191410
19910401;2340.2191410
19910501;2131.8812140
19910601;2235.4990190
19910701;2211.2480430
19910801;2299.4334090
19910901;2381.0048720
19911001;2349.0376770
19911101;2261.9546290
19911201;2131.8812140
19920101;2163.8484090
19920201;2269.6708480
19920301;2259.7499940
19920401;2188.0993850
19920501;2255.3407260
19920601;2407.4604820
19920701;2474.7018230
19920801;2451.5531650
19920901;2256.4430430
19921001;2224.4758480
19921101;2128.5742630
19921201;2266.3638970
19930101;2171.5646290
19930201;2063.5375560
19930301;2112.0395070
19930401;1845.2787760
19930501;1763.7073130
19930601;1913.6224340
19930701;1938.9757270
19930801;1838.6648740
19930901;1647.9640200
19931001;1602.7690200
19931101;1670.0103620
19931201;1828.7440200
19940101;1975.3521900
19940201;1890.4737760
19940301;1909.2131660
19940401;2013.9332880
19940501;2226.6804820
19940601;2433.9160920
19940701;2408.5627990
19940801;2554.0686520
19940901;2500.0551160
19941001;2795.4760910
19941101;3061.1345050
19941201;3094.2040170
19950101;2934.3680420
19950201;2921.1402370
19950301;3075.4646270
19950401;2812.0108470
19950501;2974.0514560
19950601;3060.0321880
19950701;2970.7445050
19950801;2940.9819440
19950901;2932.1634070
19951001;2924.4471880
19951101;2914.5263340
19951201;2780.0436520
19960101;2614.6960910
19960201;2602.5706030
19960301;2537.5338960
19960401;2709.4953590
19960501;2610.2868230
19960601;1972.0452390
19960701;2050.3097510
19960801;2127.4719460
19960901;1956.6128000
19961001;2063.5375560
19961101;2431.7114570
19961201;2267.4662140
19970101;2334.7075550
19970201;2507.7713350
19970301;2487.9296280
19970401;2444.9392620
19970501;2614.6960910
19970601;2472.4971890
19970701;2357.8562140
19970801;2184.7924340
19970901;2101.0163360
19971001;1999.6031660
19971101;1795.6745080
19971201;1695.3636540
19980101;1736.1493860
19980201;1671.1126790
19980301;1678.8288980
19980401;1865.1204830
19980501;1664.4987760
19980601;1587.3365810
19980701;1686.5451180
19980801;1688.7497520
19980901;1607.1782890
19981001;1590.6435330
19981101;1539.9369470
19981201;1462.7747530
19990101;1415.3751180
19990201;1358.0546310
19990301;1374.5893870
19990401;1579.6203620
19990501;1392.2264600
19990601;1658.9871910
19990701;1629.2246300
19990801;1747.1725570
19990901;1779.1397520
19991001;1767.0142640
19991101;1739.4563370
19991201;1856.3019470
20000101;1845.2787760
20000201;1744.9679230
20000301;1764.8096300
20000401;1752.6841420
20000501;1779.1397520
20000601;1795.6745080
20000701;1916.9293860
20000801;1959.9197510
20000901;2017.2402390
20001001;1835.3579220
20001101;1895.9853610
20001201;1866.2228000
20010101;1873.9390200
20010201;1812.2092640
20010301;1673.3173130
20010401;1706.3868250
20010501;1647.9640200
20010601;1552.0624350
20010701;1505.7651180
20010801;1495.8442650
20010901;1420.8867040
20011001;1361.3615820
20011101;1591.7458500
20011201;1452.8538990
20020101;1622.6107280
20020201;1601.6667030
20020301;1686.5451180
20020401;1593.9504840
20020501;1684.3404840
20020601;1693.1590200
20020701;1507.9697520
20020801;1514.5836550
20020901;1478.2071920
20021001;1600.5643860
20021101;1652.3732890
20021201;1548.7554840
20030101;1751.5818250
20030201;1706.3868250
20030301;1597.2574350
20030401;1597.2574350
20030501;1725.1262150
20030601;1644.6570690
20030701;1804.4930440
20030801;1770.3212150
20030901;1814.4138980
20031001;2069.0491410
20031101;2106.5279220
20031201;2304.9449940
20040101;2525.4084080
20040201;3074.3623100
20040301;3022.5534070
20040401;2666.5049930
20040501;2847.2849930
20040601;2694.0629200
20040701;2883.6614560
20040801;2810.9085300
20040901;3095.3063340
20041001;2882.5591390
20041101;3235.3006020
20041201;3202.2310900
20050101;3121.7619440
20050201;3228.6866990
20050301;3272.7793820
20050401;3291.5187720
20050501;3274.9840160
20050601;3389.6249920
20050701;3666.3065760
20050801;3807.4031610
20050901;3808.5054790
20051001;4003.6156000
20051101;4779.6468180
20051201;4482.0212090
20060101;4958.2221830
20060201;4946.0966950
20060301;5430.0138890
20060401;7612.6016890
20060501;7652.2851030
20060601;7639.0572980
20060701;7921.2504680
20060801;7661.1036400
20060901;7629.1364450
